Jenis Hewan,Jenis Produksi,Kode Kabupaten Kota,Nama Kabupaten Kota,Nama Provinsi,Satuan,Tahun,Jumlah Produksi,Kode Provinsi
SAPI PERAH,SUSU,3209,KABUPATEN CIREBON,JAWA BARAT,LITER,2018,401140,32
SAPI PERAH,SUSU,3209,KABUPATEN CIREBON,JAWA BARAT,LITER,2019,411718,32
SAPI PERAH,SUSU,3209,KABUPATEN CIREBON,JAWA BARAT,LITER,2020,420756,32
SAPI PERAH,SUSU,3209,KABUPATEN CIREBON,JAWA BARAT,LITER,2021,314843,32
SAPI PERAH,SUSU,3209,KABUPATEN CIREBON,JAWA BARAT,LITER,2022,263984,32
SAPI PERAH,SUSU,3209,KABUPATEN CIREBON,JAWA BARAT,LITER,2023,263906,32
SAPI PERAH,SUSU,3209,KABUPATEN CIREBON,JAWA BARAT,LITER,2024,263906,32
AYAM BURAS,TELUR,3209,KABUPATEN CIREBON,JAWA BARAT,KG,2021,2958433,32
AYAM RAS PETELUR,TELUR,3209,KABUPATEN CIREBON,JAWA BARAT,KG,2021,996680,32
AYAM RAS PEDAGING,TELUR,3209,KABUPATEN CIREBON,JAWA BARAT,KG,2021,0,32
ITIK,TELUR,3209,KABUPATEN CIREBON,JAWA BARAT,KG,2021,4076762,32
ITIK MANILA,TELUR,3209,KABUPATEN CIREBON,JAWA BARAT,KG,2021,1524536,32
MERPATI,TELUR,3209,KABUPATEN CIREBON,JAWA BARAT,KG,2021,0,32
PUYUH,TELUR,3209,KABUPATEN CIREBON,JAWA BARAT,KG,2021,61944,32
AYAM BURAS,TELUR,3209,KABUPATEN CIREBON,JAWA BARAT,KG,2022,2958434,32
AYAM RAS PETELUR,TELUR,3209,KABUPATEN CIREBON,JAWA BARAT,KG,2022,996681,32
AYAM RAS PEDAGING,TELUR,3209,KABUPATEN CIREBON,JAWA BARAT,KG,2022,0,32
ITIK,TELUR,3209,KABUPATEN CIREBON,JAWA BARAT,KG,2022,4076762,32
ITIK MANILA,TELUR,3209,KABUPATEN CIREBON,JAWA BARAT,KG,2022,1522520,32
MERPATI,TELUR,3209,KABUPATEN CIREBON,JAWA BARAT,KG,2022,0,32
PUYUH,TELUR,3209,KABUPATEN CIREBON,JAWA BARAT,KG,2022,74594,32
AYAM BURAS,TELUR,3209,KABUPATEN CIREBON,JAWA BARAT,KG,2023,2972441,32
AYAM RAS PETELUR,TELUR,3209,KABUPATEN CIREBON,JAWA BARAT,KG,2023,4230064,32
AYAM RAS PEDAGING,TELUR,3209,KABUPATEN CIREBON,JAWA BARAT,KG,2023,0,32
ITIK,TELUR,3209,KABUPATEN CIREBON,JAWA BARAT,KG,2023,7202505,32
ITIK MANILA,TELUR,3209,KABUPATEN CIREBON,JAWA BARAT,KG,2023,1187869,32
MERPATI,TELUR,3209,KABUPATEN CIREBON,JAWA BARAT,KG,2023,0,32
PUYUH,TELUR,3209,KABUPATEN CIREBON,JAWA BARAT,KG,2023,80403,32
AYAM BURAS,TELUR,3210,KABUPATEN CIREBON,JAWA BARAT,KG,2024,"2,972,441",32
AYAM RAS PETELUR,TELUR,3211,KABUPATEN CIREBON,JAWA BARAT,KG,2024,"881,684",32
AYAM RAS PEDAGING,TELUR,3212,KABUPATEN CIREBON,JAWA BARAT,KG,2024,0,32
ITIK,TELUR,3213,KABUPATEN CIREBON,JAWA BARAT,KG,2024,"4,230,065",32
ITIK MANILA,TELUR,3214,KABUPATEN CIREBON,JAWA BARAT,KG,2024,"1,187,869",32
MERPATI,TELUR,3215,KABUPATEN CIREBON,JAWA BARAT,KG,2024,0,32
PUYUH,TELUR,3216,KABUPATEN CIREBON,JAWA BARAT,KG,2024,"80,402",32
SAPI POTONG,DAGING,3209,KABUPATEN CIREBON,JAWA BARAT,KG,2021,4364538.6,32
SAPI PERAH,DAGING,3209,KABUPATEN CIREBON,JAWA BARAT,KG,2021,0,32
KERBAU,DAGING,3209,KABUPATEN CIREBON,JAWA BARAT,KG,2021,4988.88,32
KUDA,DAGING,3209,KABUPATEN CIREBON,JAWA BARAT,KG,2021,0,32
KAMBING,DAGING,3209,KABUPATEN CIREBON,JAWA BARAT,KG,2021,50699.92,32
DOMBA,DAGING,3209,KABUPATEN CIREBON,JAWA BARAT,KG,2021,1682857.54,32
KELINCI,DAGING,3209,KABUPATEN CIREBON,JAWA BARAT,KG,2021,3884.16,32
AYAM BURAS,DAGING,3209,KABUPATEN CIREBON,JAWA BARAT,KG,2021,1416512.602,32
AYAM RAS PETELUR,DAGING,3209,KABUPATEN CIREBON,JAWA BARAT,KG,2021,81164.89656,32
AYAM RAS PEDAGING,DAGING,3209,KABUPATEN CIREBON,JAWA BARAT,KG,2021,25341105.6,32
ITIK,DAGING,3209,KABUPATEN CIREBON,JAWA BARAT,KG,2021,506310.845,32
ITIK MANILA,DAGING,3209,KABUPATEN CIREBON,JAWA BARAT,KG,2021,166255.6896,32
MERPATI,DAGING,3209,KABUPATEN CIREBON,JAWA BARAT,KG,2021,0,32
PUYUH,DAGING,3209,KABUPATEN CIREBON,JAWA BARAT,KG,2021,6733.848,32
SAPI POTONG,DAGING,3209,KABUPATEN CIREBON,JAWA BARAT,KG,2022,3614515,32
SAPI PERAH,DAGING,3209,KABUPATEN CIREBON,JAWA BARAT,KG,2022,0,32
KERBAU,DAGING,3209,KABUPATEN CIREBON,JAWA BARAT,KG,2022,5405,32
KUDA,DAGING,3209,KABUPATEN CIREBON,JAWA BARAT,KG,2022,0,32
KAMBING,DAGING,3209,KABUPATEN CIREBON,JAWA BARAT,KG,2022,18944,32
DOMBA,DAGING,3209,KABUPATEN CIREBON,JAWA BARAT,KG,2022,2134385,32
KELINCI,DAGING,3209,KABUPATEN CIREBON,JAWA BARAT,KG,2022,2913,32
AYAM BURAS,DAGING,3209,KABUPATEN CIREBON,JAWA BARAT,KG,2022,1416513,32
AYAM RAS PETELUR,DAGING,3209,KABUPATEN CIREBON,JAWA BARAT,KG,2022,81165,32
AYAM RAS PEDAGING,DAGING,3209,KABUPATEN CIREBON,JAWA BARAT,KG,2022,25139736,32
ITIK,DAGING,3209,KABUPATEN CIREBON,JAWA BARAT,KG,2022,506311,32
ITIK MANILA,DAGING,3209,KABUPATEN CIREBON,JAWA BARAT,KG,2022,166562,32
MERPATI,DAGING,3209,KABUPATEN CIREBON,JAWA BARAT,KG,2022,0,32
PUYUH,DAGING,3209,KABUPATEN CIREBON,JAWA BARAT,KG,2022,7902,32
SAPI POTONG,DAGING,3209,KABUPATEN CIREBON,JAWA BARAT,KG,2023,3121903,32
SAPI PERAH,DAGING,3210,KABUPATEN CIREBON,JAWA BARAT,KG,2023,17685,32
SAPI IMPOR,DAGING,3211,KABUPATEN CIREBON,JAWA BARAT,KG,2023,756523,32
KERBAU,DAGING,3212,KABUPATEN CIREBON,JAWA BARAT,KG,2023,7691,32
KUDA,DAGING,3213,KABUPATEN CIREBON,JAWA BARAT,KG,2023,0,32
KAMBING,DAGING,3214,KABUPATEN CIREBON,JAWA BARAT,KG,2023,18171,32
DOMBA,DAGING,3215,KABUPATEN CIREBON,JAWA BARAT,KG,2023,1901982,32
BABI,DAGING,3216,KABUPATEN CIREBON,JAWA BARAT,KG,2023,0,32
AYAM BURAS,DAGING,3217,KABUPATEN CIREBON,JAWA BARAT,KG,2023,1423220,32
AYAM RAS PERTELUR,DAGING,3218,KABUPATEN CIREBON,JAWA BARAT,KG,2023,71800,32
AYAM RAS PERDAGING,DAGING,3219,KABUPATEN CIREBON,JAWA BARAT,KG,2023,25097787,32
ITIK,DAGING,3220,KABUPATEN CIREBON,JAWA BARAT,KG,2023,525350,32
KELINCI,DAGING,3221,KABUPATEN CIREBON,JAWA BARAT,KG,2023,1827,32
MERPATI,DAGING,3222,KABUPATEN CIREBON,JAWA BARAT,KG,2023,0,32
PUYUH,DAGING,3223,KABUPATEN CIREBON,JAWA BARAT,KG,2023,8741,32
ITIK MANILA,DAGING,3224,KABUPATEN CIREBON,JAWA BARAT,KG,2023,129541,32
SAPI POTONG,DAGING,3225,KABUPATEN CIREBON,JAWA BARAT,KG,2024,1901857,32
SAPI PERAH,DAGING,3226,KABUPATEN CIREBON,JAWA BARAT,KG,2024,3025,32
SAPI IMPOR,DAGING,3227,KABUPATEN CIREBON,JAWA BARAT,KG,2024,1837849,32
KERBAU,DAGING,3228,KABUPATEN CIREBON,JAWA BARAT,KG,2024,2287,32
KUDA,DAGING,3229,KABUPATEN CIREBON,JAWA BARAT,KG,2024,0,32
KAMBING,DAGING,3230,KABUPATEN CIREBON,JAWA BARAT,KG,2024,16249,32
DOMBA,DAGING,3231,KABUPATEN CIREBON,JAWA BARAT,KG,2024,1930152,32
BABI,DAGING,3232,KABUPATEN CIREBON,JAWA BARAT,KG,2024,0,32
